英文字段名,中文名称
company_id,公司编号
vendor_code,厂商编号
vendor_name,厂商名称
booth_no,摊位号
contact,联系人
mobile,手机
phone,电话
qq,QQ
address,地址
booth_type,摊位类型
floor_zone,楼层区域
booth_area,摊位面积
cert_no,证书编号
last_expiry,上次到期日
expiry_date,到期日期
registrant,登记人
create_time,创建时间
sample_id,样品ID
sample_code,公司编号
sample_name,样品名称
english_name,英文名称
factory_code,出厂货号
sample_unit,样品单位
packaging,包装方式
factory_price,出厂价
tax_price,税点价
product_spec,产品规格
gross_weight,样品毛重
net_weight,样品净重
carton_length,外箱长度
carton_width,外箱宽度
carton_height,外箱高度
carton_spec,外箱规格
carton_volume,外箱体积
carton_material_vol,外箱材积
carton_gross_wt,外箱毛重
carton_net_wt,外箱净重
inner_box_qty,内盒数
carton_capacity,装箱量
packing_unit,包装单位
package_spec,包装规格
certification,认证证书
category,样品种类
material,材质
color,颜色
size,尺寸
weight,重量
sample_contact,样品联系人
sample_phone,样品联系电话
battery_info,电池信息
infringement,是否侵权
description,产品描述
remark_cn,中文备注
remark_en,英文备注
image_path,图片路径
thumbnail,缩略图路径
